year,n_developers,total_commits,median_commits,mean_commits,median_repos,mean_repos,p90_repos,pct_monorepo,top_1pct_commits,top_1pct_count,top_1pct_share
2019,166929,2975657,5.0,17.825884058491933,1.0,1.725889450005691,3.0,62.42594156797201,1472839,1669,0.4949626250606169
2020,222765,4001261,5.0,17.961802796669136,1.0,1.7709469620452045,3.0,61.10834287253384,2052959,2227,0.5130780021598191
2021,260424,5344354,5.0,20.52174146776027,1.0,1.7632514668386938,3.0,61.518907627561205,2927505,2604,0.5477752783591805
2022,294863,6301783,5.0,21.371901527149898,1.0,1.7192424956674794,3.0,62.33810277993509,3555818,2948,0.5642558621901135
2023,322476,7761477,5.0,24.068386484575598,1.0,1.6997109862439375,3.0,62.513489375953554,4670834,3224,0.6017970548646862
2024,356249,17762733,5.0,49.86044311703331,1.0,1.6574923719084125,3.0,64.58628655799735,12236347,3562,0.6888774942459587
