Year,N (filtered),Median Commits,Mean Commits,Median Repos,% Monorepo,Top 1% Share,Top 10% Share,Gini,P99/P50,AI per 10K,Top 1% AI Rate,Rest AI Rate,Outliers (>10K),Alpha
2019,166929,5.0,17.825884058491933,1.0,62.42594156797201,49.49626250606169,0.7258309677493071,0.7466238651996668,41.4,7.351095947011273,3.11545510079413,0.06888154461645,46,1.915835753883202
2020,222765,5.0,17.961802796669136,1.0,61.10834287253384,51.30780021598191,0.7266771650237263,0.7485764767203411,38.8,6.527520204016303,1.9367028814359901,0.06985881166484,73,1.89493367060866
2021,260424,5.0,20.52174146776027,1.0,61.518907627561205,54.77752783591805,0.7553930746354003,0.7753115246158133,46.6,6.9756507933407645,2.1259842519685,0.07691008188923,79,2.176873478605292
2022,294863,5.0,21.371901527149895,1.0,62.33810277993509,56.42558621901135,0.7654449542296204,0.7842098303883189,51.0,6.021251770772694,1.68895144264602,0.08062189516782,131,1.807090064837251
2023,322476,5.0,24.0683864845756,1.0,62.513489375953554,60.17970548646861,0.7944654090967479,0.8091804405577703,60.2,19.26874688499019,3.71556694426649,0.12031238250743001,175,2.134460925836205
2024,356249,5.0,49.86044311703331,1.0,64.58628655799735,68.88774942459587,0.8952121838458079,0.8974075948998133,187.70400000000373,18.049796357893648,4.27574171029668,0.17643323360545,1155,2.033060514610459
