transition,year_from,year_to,n_common,top1_stay_top1,top1_stay_top10,top1_drop_below_median
2019→2020,2019,2020,12138,0.23770491803278687,0.5491803278688525,0.20491803278688525
2020→2021,2020,2021,15826,0.2389937106918239,0.5974842767295597,0.18867924528301888
2021→2022,2021,2022,17247,0.23121387283236994,0.5317919075144508,0.23121387283236994
2022→2023,2022,2023,18553,0.24731182795698925,0.543010752688172,0.16129032258064516
2023→2024,2023,2024,19725,0.08585858585858586,0.5909090909090909,0.16666666666666666
2024→2025,2024,2025,14843,0.09395973154362416,0.24161073825503357,0.3087248322147651
