n_developers,total_commits,median_commits,mean_commits,max_commits,p90_commits,p99_commits,top_1pct_share,gini,year
54057,983036,5.0,18.185174907967514,2085,22.0,290.0,0.3828822138761958,0.7348594482038884,2019
71761,1275510,5.0,17.7744178592829,3000,20.0,271.0,0.41175686588109855,0.7336001276550299,2020
87716,1760005,5.0,20.064811436910027,6000,22.0,330.0,0.43114309334348483,0.7553302496270189,2021
95156,1993178,5.0,20.946424818193282,4415,21.0,375.8999999999942,0.4438294020905308,0.7665244022639714,2022
102648,3248404,5.0,31.64605252903125,21062,22.0,528.0,0.5898342693827492,0.8429434275141581,2023
115466,10335931,5.0,89.5149308021409,60002,26.0,1525.0,0.7663483821631549,0.9357756920885643,2024
