year,filter,n_accounts,total_commits,mean_commits,median_commits,p90_commits,p99_commits,top_1pct_share,top_10pct_share,gini,p99_p50_ratio,p90_p50_ratio,powerlaw_alpha,powerlaw_xmin,powerlaw_vs_lognormal_R,powerlaw_vs_lognormal_p
2019,multi_repo,64406,1384035,21.48922460640313,6.0,23.0,268.0,45.30434562709758,71.87715628578756,0.7497918057486921,44.666666666666664,3.8333333333333335,1.9617740996547604,25.0,-3.1562107665391252,0.09985369247861728
2020,multi_repo,88765,1924456,21.680346983608406,6.0,22.0,265.3600000000006,47.784568730072294,72.21001675278625,0.752829283923711,44.226666666666766,3.6666666666666665,1.9332496704238722,34.0,-5.640261803954761,0.02635999162991833
2021,multi_repo,102867,2525459,24.55072083369788,6.0,22.0,306.0,52.16920963674326,75.20854624842454,0.7792759866340573,51.0,3.6666666666666665,2.09485891847746,5.0,6.327958718084465,1.0098691518956468e-34
2022,multi_repo,113981,2865724,25.14212017792439,6.0,22.0,321.1999999999971,53.71434932324257,76.1313720372234,0.7865387849215653,53.53333333333285,3.6666666666666665,1.8493142602605572,36.0,-6.4667543707941295,0.013461642876348514
2023,multi_repo,124041,3132816,25.256294289791278,6.0,21.0,338.6000000000058,54.570680180387235,76.88536447719879,0.791713344872155,56.4333333333343,3.5,1.8212815367244377,40.0,-14.317675995464256,0.00026380246291152925
2024,multi_repo,131530,7463885,56.74663574849844,6.0,25.0,1287.4199999999837,63.921309076975334,89.17619979407507,0.8949573002209947,214.5699999999973,4.166666666666667,1.6343262657048312,30.0,-31.581316758592095,1.651330772950333e-08
