year,full_sample_n,dev_n,dev_pct_of_total,dev_commits,dev_commits_pct,dev_top_1pct_share,dev_top_10pct_share,dev_gini,dev_median_commits,dev_mean_repos
2019,166929,16079,9.632238856040592,664853,22.34306574984953,0.29102824233326763,0.5891949047383407,0.6245884248516025,16.0,4.359972635114124
2020,222765,22496,10.098534329899222,967973,24.191698567026744,0.33833485024892224,0.6194614932441297,0.6475980779912658,16.0,4.457948079658606
2021,260424,26286,10.093539765920191,1227153,22.961671326412883,0.39607449111887433,0.6535517576047974,0.6763895097652852,16.0,4.4934946359278705
2022,294863,28689,9.729603239470535,1478628,23.463645130275033,0.42104031575217027,0.6903629580935841,0.7074763824583079,15.0,4.26843040886751
2023,322476,29819,9.246889691015765,1504067,19.37861827072347,0.4198370152393477,0.6846895783233061,0.7026686240434326,15.0,4.220228713236527
2024,356249,31538,8.852796779780435,2291039,12.898009557425652,0.4775444678156941,0.7699270942135861,0.7810872427313686,15.0,4.042107933286829
