year,n_developers,mean_repos_per_dev,median_repos_per_dev,p90_repos_per_dev,p99_repos_per_dev,mean_commits_per_dev,overall_solo_rate
2019,162714,1.1889142913332595,1.0,2.0,4.0,7.500165935322099,0.934228456939402
2020,211562,1.1972376891880394,1.0,2.0,4.0,7.161040262428981,0.9328899787057972
2021,252545,1.209103328119741,1.0,2.0,4.0,8.779377932645668,0.930012721026322
2022,282296,1.196938674299317,1.0,2.0,3.0,9.005168333947346,0.9307676528075168
2023,310745,1.186892789908124,1.0,2.0,3.0,12.797126261082237,0.9309963346263485
2024,342717,1.1852899039148919,1.0,2.0,3.0,42.31585243801737,0.9297158228570908
