year,n_developers,median_commits,mean_commits,max_commits,p90_commits,p99_commits,top_1pct_share,top_10pct_share,gini,p99_p50_ratio,alpha,alpha_se,xmin,n_tail,R_vs_lognormal,p_vs_lognormal
2019,166929,5.0,17.825884058491933,9812,17.0,207.0,0.4949626250606169,0.7258309677493071,0.7466238651996668,41.4,1.915835753883202,0.008679835403346867,25.0,11133,-2.2739985329455896,0.022966074730587666
2020,222765,5.0,17.961802796669136,9877,16.0,194.0,0.5130780021598191,0.7266771650237263,0.7485764767203411,38.8,1.8949336706086601,0.008712937892000972,33.0,10550,-2.956960166213088,0.003106882520887466
2021,260424,5.0,20.52174146776027,9970,17.0,233.0,0.5477752783591805,0.7553930746354003,0.7753115246158133,46.6,2.176873478605292,0.0027286340018642568,4.0,186024,-0.9635882579690098,0.33525239607382806
2022,294863,5.0,21.371901527149898,9953,17.0,255.0,0.5642558621901135,0.7654449542296204,0.7842098303883189,51.0,1.807090064837251,0.007302562213359326,40.0,12215,-5.972965676743377,2.3297893095819083e-09
2023,322476,5.0,24.068386484575598,10000,17.0,301.0,0.6017970548646862,0.7944654090967479,0.8091804405577703,60.2,2.134460925836205,0.001997748636903012,3.0,322476,20.829675827310783,2.3303294899781926e-96
2024,356249,5.0,49.86044311703331,10000,21.0,938.5200000000186,0.6888774942459587,0.8952121838458079,0.8974075948998133,187.70400000000373,2.033060514610459,0.001730808165391831,3.0,356249,-13.699278788667884,1.0253770398410039e-42
