actor_login,year,total_commits,ai_commits,claude_commits,copilot_commits,gpt_commits,cursor_commits,aider_commits
GarfieldDai,2024,7,1,0,0,1,0,0
cmdbris,2024,1,1,0,0,0,1,0
JohnielComanda,2024,39,1,0,0,1,0,0
tutuxka,2024,40,1,0,0,1,0,0
swyxio,2024,2,1,0,0,1,0,0
castrombithisamm,2024,1,1,0,0,1,0,0
Arushan2,2024,21,1,0,0,1,0,0
Snakey42069,2024,20,1,0,0,1,0,0
pbsprashanth113,2024,20,3,0,0,3,0,0
ianthehamster,2024,2,1,0,0,1,0,0
summerfang,2024,3,1,0,0,1,0,0
epsilon-0,2024,1,1,0,0,0,1,0
IshwarKanse,2024,20,1,0,0,1,0,0
shabegom,2024,14,1,0,0,0,1,0
yeah-its-gloria,2024,1,1,0,0,0,1,0
gitstart,2024,67,1,0,0,0,1,0
ZachyCatGames,2024,3,1,0,0,0,1,0
ketsarin789,2024,20,1,0,0,1,0,0
thirteenmans,2024,2,1,0,0,0,1,0
erikajdavid,2024,3,1,0,0,0,1,0
scala-steward-didx[bot],2024,3,1,0,0,1,0,0
burnworks,2024,5,1,0,0,1,0,0
alannguyencs,2024,2,1,0,0,1,0,0
fcoalcantarajr,2024,1,1,0,0,1,0,0
efriis,2024,18,1,0,0,1,0,0
fakuventuri,2024,4,1,0,0,0,1,0
rishimo,2024,2,1,0,0,1,0,0
tradex-app,2024,2,1,0,0,0,1,0
mecaneer23,2024,6,1,0,0,0,1,0
hermabr,2024,4,1,0,0,1,0,0
rberman6,2024,26,2,0,0,2,0,0
mccrindlebrian,2024,1,1,0,0,1,0,0
skippyr,2024,9,2,0,0,0,2,0
nimrodleon,2024,20,1,0,0,0,1,0
BrentFarris,2024,40,2,0,0,0,2,0
azonenberg,2024,6,1,0,0,0,1,0
maxisawesome,2024,1,1,0,0,1,0,0
Chanzhaoyu,2024,1,1,0,0,1,0,0
kaylareopelle,2024,2,1,0,0,1,0,0
Fabcien,2024,3,1,0,0,0,1,0
joshistoast,2024,20,1,0,0,0,1,0
mcastillo1030,2024,5,5,0,0,0,5,0
tomifer10,2024,1,1,0,0,0,1,0
eddydas,2024,43,1,0,0,0,1,0
thalessz,2024,4,1,0,0,0,1,0
stefan-mysten,2024,11,1,0,0,0,1,0
Jbluehdorn,2024,4,1,0,0,0,1,0
doridoridoriand,2024,40,1,0,1,0,0,0
trixirt,2024,20,1,0,0,1,0,0
Muppetsg2,2024,37,1,0,0,0,1,0
crazyman222214,2024,3,1,0,0,1,0,0
clintropolis,2024,1,1,0,0,0,1,0
Abczymnik,2024,3,1,0,0,0,1,0
catca,2024,20,1,0,0,0,1,0
tomiir,2024,7,1,0,0,0,1,0
slundberg,2024,22,2,1,0,1,0,0
