year,filter,n_accounts,total_commits,mean_commits,median_commits,p90_commits,p99_commits,top_1pct_share,top_10pct_share,gini,p99_p50_ratio,p90_p50_ratio,powerlaw_alpha,powerlaw_xmin,powerlaw_vs_lognormal_R,powerlaw_vs_lognormal_p
2019,full_sample,166929,2975657,17.825884058491933,5.0,17.0,207.0,49.49626250606169,72.58309677493071,0.7466238651996668,41.4,3.4,1.915835753883202,25.0,-5.831520390055147,0.022966074730587666
2020,full_sample,222765,4001261,17.961802796669136,5.0,16.0,194.0,51.30780021598191,72.66771650237263,0.7485764767203411,38.8,3.2,1.8949336706086601,33.0,-9.771349172753345,0.003106882520887466
2021,full_sample,260424,5344354,20.52174146776027,5.0,17.0,233.0,54.77752783591805,75.53930746354003,0.7753115246158133,46.6,3.4,2.176873478605292,4.0,-8.87157760262145,0.33525239607382806
2022,full_sample,294863,6301783,21.371901527149898,5.0,17.0,255.0,56.42558621901135,76.54449542296204,0.7842098303883189,51.0,3.4,1.807090064837251,40.0,-39.251018955557534,2.3297893095819083e-09
2023,full_sample,322476,7761477,24.068386484575598,5.0,17.0,301.0,60.17970548646861,79.4465409096748,0.8091804405577703,60.2,3.4,2.134460925836205,3.0,87.24443625868744,2.3303294899781926e-96
2024,full_sample,356249,17762733,49.86044311703331,5.0,21.0,938.5200000000186,68.88774942459587,89.52121838458079,0.8974075948998133,187.70400000000373,4.2,2.033060514610459,3.0,-1695.3403707257041,1.0253770398410039e-42
