actor,public_commits,total_commits,is_org,n_repos_2025
simolus3,337,358,True,3
OmarN-Mukhtar,30,30,True,2
Varni1512,154,154,False,2
mightyiam,149,163,False,3
eest,138,138,False,2
taqui-786,45,80,False,2
juztas,143,212,False,4
callmekz25,38,40,False,3
xb1g,325,692,False,2
takumin,187,264,False,2
ConnorG512,1123,1123,False,2
jyoti-bhogal,105,105,False,2
anataliocs,135,171,False,2
XebiaLabsCI,353,353,True,3
mikemccand,196,202,False,2
MingchenDai,5,13,False,2
onepointconsulting,99,99,False,3
PedroHurtado,789,789,False,3
real-yfprojects,30,30,True,2
Artemiadze,4,4,False,2
katjaluther,55,55,False,2
AnandVishesh1301,16,18,False,2
samuelcolvin,97,181,False,3
0xC0000054,191,196,False,3
nicvagn,69,69,False,3
rainman456,76,76,False,2
Namat1,257,257,False,4
tamerakdeniz,50,50,False,4
scottadkin,141,242,False,2
jiteshy,68,68,False,2
JohnStrunk,94,128,False,3
aymanhab,13,13,True,2
subiksha-0409,11,11,True,3
sezero,117,117,False,9
leegunwoooo,78,80,True,2
DavidEstevezzz,16,16,False,2
mariamarM,80,80,False,3
JokelaR,18,18,True,2
f-hafner,14,14,True,2
fluxth,74,82,False,3
idk-who,168,168,False,2
KunalSood-19,19,19,True,2
asadali145,133,146,False,3
KazKozDev,246,246,False,2
jaumeortola,397,397,True,3
jeyounson,120,120,False,4
AJParkerX,5,5,False,2
mrproliu,51,51,True,2
costa-rica,864,864,True,8
roberthernandezmarketing,3,3,False,2
theunraveler,5,5,False,2
UnravelSports,24,24,False,3
RoberthVieira,35,35,False,3
EmanuelTFF,22,22,False,2
Arom1a,74,89,False,3
20jasper,141,141,False,3
Foqsz,243,255,False,2
althonos,634,634,False,3
H3llKa1ser,547,547,False,2
orewagaurav,34,39,False,4
matthew-hre,292,382,True,4
crazy-max,1417,1623,False,6
indraai,594,594,False,5
jungkimin2,238,238,False,2
Nikoivan,3,3,False,2
MarcoBllfr,40,40,False,2
SamuelBorn,10,10,False,2
LucasPickering,312,312,False,2
sp5wwp,125,125,True,2
jbpratt,223,320,False,2
gorillaworkout,99,99,False,2
guerreroeileen,9,9,False,2
Abhi-coder-crypto,5,5,True,2
matejpopovski,992,992,False,2
cyber-pc,51,51,False,2
davidwengier,1082,1118,False,4
euijooning,54,54,False,4
SharpSunil,59,59,False,2
Sana-Farasat,38,38,True,2
jiajunlee19,3,51,False,3
bosh,3,62,False,3
nhannn87dn,75,76,False,2
Harry-0318,50,62,True,2
M-Nowfal,156,156,False,2
johnvanbreda,355,355,True,2
itsakshatsinghh,54,54,False,2
Gobindapaull,57,57,False,3
clockback,42,42,False,2
y14e,153,153,False,4
coloz,296,409,False,3
Mrwicks00,313,372,True,2
Johann-George,41,41,True,2
KKalem,66,66,True,3
angelozerr,84,84,True,2
karan-suthar03,150,173,True,2
AdityaPatadiya,17,24,False,2
DudeSquaredEdud,3,3,False,3
Aragorn7372,262,262,False,3
Ignazio-Emanuele-Picciche,6,6,True,2
just-a-guy150,19,19,True,2
Mr-Bossman,11,11,True,2
adalisk-emikhaylov,138,148,False,2
KvngJamesII,156,156,False,2
KaloinaRandria,289,289,False,3
MrMirror21,281,281,True,3
koushikikundu9,22,22,False,4
Mig-uel,131,131,False,2
Sakshi-Greycube,29,29,True,2
treddy08,292,292,False,4
egondo,35,35,False,3
MiguelLopezRamirez,486,486,False,2
Sini921,167,167,False,2
OpenGOALBot,10,10,False,2
CatMan6112,24,24,False,2
ppenna,955,994,False,2
fwilliams,11,11,False,2
dillonkearns,1038,1038,False,2
Ymgc19,5,5,False,2
dfoulks1,27,69,True,2
Nordine000,7,7,False,2
David2025-KH,42,42,True,3
johnhwhite,167,319,False,3
Graham-ki,3,3,False,2
clenio77,129,129,False,4
Leonardo2745,4,4,False,3
diamondap,131,131,False,2
wkillerud,89,89,False,2
eliascop,4,4,False,2
jeet-5870,15,15,False,2
jcbhmr,154,154,False,5
pbastia,117,117,False,2
anjanea,4,4,False,2
starknetdev,405,405,True,2
burakemretetik,13,13,False,3
fmz,17,30,False,2
garydgregory,1902,1903,True,3
ernetas,79,84,False,3
Islamhassana3,4,4,False,2
seohyun-lee,34,35,True,3
Salihtrz,14,14,False,4
SamErde,89,244,False,4
kenchan20141,2080,2080,False,4
hose0504,19,19,False,2
XandGVaz,9,93,False,2
ensia96,389,597,False,2
Henrique-nte,24,24,True,2
njsmithfm,36,36,False,2
devasphn,15,15,False,4
ramong26,645,645,True,3
RajpurohitHitesh,46,46,False,2
Melke27,34,34,True,2
elvisperlika,164,164,False,2
savitharaghunathan,89,89,False,2
hnsylzg,371,371,False,3
thomas-bc,49,71,False,2
AbinavDWH,4,4,False,2
AMAYKJHA,255,277,False,2
JeversonDiasSilva,134,134,False,2
tonnyBryan,228,228,False,3
MuizDebo,7,7,False,2
amalungo,18,18,False,2
miki-yuasa,111,111,True,2
ClassyBot,164,164,False,2
fthobe,7,7,True,2
DavidCodec,52,89,True,2
izumiano,170,193,False,2
georgeweigt,365,365,False,2
Ahmed-Attia-div,4,4,True,2
smartwalle,76,76,False,4
kalama-ai,46,46,False,2
akankshakusf,34,34,False,2
Rodrigo-Kelven,40,61,True,9
windybirth,53,53,False,2
Krizsry,60,60,False,2
KauaS4ntiago,4,4,False,2
nithishkumar86,40,40,False,3
mangsuyo,53,53,False,3
Egor228000,4,4,False,2
iadarshrawat,3,22,False,2
alexxarmaas,8,8,False,2
snajpa,28,28,False,3
Khalil-secure,239,239,True,3
GabrielVilarino,17,17,False,2
SteveJustin1963,58,58,False,2
metsma,47,47,False,3
ksy13001,92,121,False,3
iam-i-j-k,5,5,False,2
stephentoub,264,343,False,4
yanthomasdev,269,288,False,3
Crivella,337,338,False,3
nuclearcat,40,328,False,7
scratchgamingone,15,15,False,2
mynewproject123,24,24,False,2
MdTeach,162,165,False,2
KiJeong-Lim,55,55,True,3
thepreakerebi,101,169,False,2
IsidroTrevino,10,10,False,2
Sumith2104,69,117,False,2
elroi773,881,881,False,3
lauradevcode,85,113,False,3
Udaichauhan284,135,135,False,2
utpanna-pradhan,24,24,True,3
CliffordIsaboke,4,4,False,3
M1noa,74,74,False,2
jonenst,23,23,False,5
McCollinsMediaWeb,46,46,False,2
CharaD7,102,113,False,2
janosh,560,624,False,3
kfrey-idm,87,97,False,3
DaffaDeveloper,48,48,False,2
asteroid-338,3,3,False,2
Nlkomaru,167,236,False,2
Potu123,11,11,False,2
NotNestor,25,25,True,3
v3DJG6GL,23,23,False,2
qifeng-bai,14,14,False,2
aszenz,48,48,False,2
khushbul10,15,15,False,2
Ryanatrix,23,23,False,2
nOOne-is-hier,81,82,True,3
alamgir-ahosain,36,65,True,2
geoffreydatema,93,93,False,2
dobe4ever,9,9,False,3
yJuste,10,10,False,2
do0ori,86,86,True,2
lekhrajdinkar,209,209,False,2
zayedkhan1,25,25,False,4
locharp,36,36,False,2
biosp4rk,176,176,False,2
hwang-hyesung,37,37,True,3
seintur,8,8,False,3
chrisfinazzo,24,27,False,2
elasticmachine,431,431,True,10
araobp,241,241,False,3
aerial33,41,41,False,2
garethbaars,19,19,False,2
Carifio24,420,537,False,4
mrsushil67,6,6,False,2
SheepYhangCN,59,106,False,2
mamtawardhani,14,15,True,2
commrade-goad,297,297,True,3
thatguyinabeanie,117,329,False,5
Gitanjali988,5,5,False,3
easyshellworld,6,8,False,2
Tabaie,13,13,False,2
syniol,65,81,False,2
theluqmn,28,56,False,2
sylvestre,503,748,True,6
Tanchwa,42,42,False,2
sanjaydeveloper9696,20,20,False,3
OmKadane,6,6,False,2
u202220034,9,9,False,2
dvlp-sy,20,22,False,2
AlissonFredo,26,26,False,3
saiharsha-plivo,6,6,True,2
FelipeBaracaldo1118,68,68,False,2
sonms,272,272,False,2
CXPhoenix,362,362,True,2
roxblnfk,274,282,False,6
Clovhis,185,185,False,2
Ralet11,44,111,False,3
bobschmitt-civicactions,15,15,True,2
Japnoor27,348,348,False,2
mcconnellj,59,59,False,2
frett,105,105,False,5
AbdullahSofayan,10,10,False,3
Galoretka,23,23,False,2
gagdiez,134,134,True,3
genskyff,44,46,False,2
alexander-held,3,41,True,2
Cheuhyeen,26,26,False,2
Teddy-GH,5,5,False,2
imsudiptaa,3,3,False,2
wolfeidau,93,345,False,2
Entkenntnis,381,475,False,3
semalaiappan,31,31,True,2
cfrance3,50,50,False,2
dknopik,3,8,False,2
gnott,101,101,False,2
Juanperias,43,43,False,2
sdwheeler,116,160,False,5
Ryangr0,281,307,False,3
cristeaibogdan,36,36,False,2
utkxrsh13,238,240,False,2
shadowy-pycoder,120,120,True,2
YumeMichi,45,56,True,8
pedro2806,129,129,False,2
maybeags,274,274,False,4
Jayadeep-Sayani,72,72,True,2
HustleHarder86,10,10,False,2
brumas2022,85,85,False,2
MinJunKKang,52,52,True,2
Simeon199,267,297,False,3
rahulsalvi,17,17,False,3
katharinastarzer21,480,480,False,3
DereC4,112,317,True,2
JPaulosr,139,139,False,2
Kir93,286,488,False,3
xa81,21,21,False,6
pxwg,38,380,False,2
Chemaclass,906,906,True,3
haykh,39,114,True,2
linas,810,810,False,3
AlcMaple,30,30,False,3
JonahWhaler,5,5,False,2
podhmo,157,157,False,2
tcl3,145,161,False,2
sandjonyves,61,61,False,2
jsign,176,182,False,2
viDaLost,444,444,False,3
adityadwadasi,37,37,False,2
LucaTvl,8,8,True,2
NelMatrix743,415,422,False,3
telpirion,35,35,True,2
The-Souza,190,190,False,2
samuelbernardolip,668,668,True,2
jerome-benoit,1556,1556,True,4
BokDoong,35,35,False,2
mawngo,31,42,True,2
ericdallo,993,1253,True,3
Adwaith-753,128,128,True,2
szaher,215,314,True,2
lumens7,9,9,False,3
yushulx,162,233,False,5
ssmn93,2273,2273,False,2
hhenske,78,78,False,2
ThilakReddyy,70,70,False,2
KshSiaan,102,129,True,2
Marshmellow105,17,17,False,2
devrazec,92,92,False,2
danielskinstad,34,184,False,2
Bissiking,36,36,False,2
filyp,49,49,False,2
AmmarAhmed1010,13,13,False,2
jsssun,230,230,True,2
stefanseifert,569,569,True,12
cc004,36,46,True,2
ankittyagi140,20,20,False,2
ooker777,72,72,True,2
baseplate-admin,1266,1266,True,3
StuffzEZ,286,298,False,2
socheatsok78,175,675,True,2
anubiswb,3576,3576,False,2
youkorr,617,617,False,5
clang-engineer,255,255,True,3
sanogomamadou,21,21,False,2
ildar-ceo,231,231,False,6
w3cgruntbot,77,77,False,2
karimeli,47,47,False,3
luis-cvqz,37,37,False,2
philwebb,150,150,True,2
martinjh99,10,10,False,3
RodrigoDSVDF,288,288,False,2
kaaax0815,22,39,False,2
zagovormasonov,360,360,False,3
AbyvargheseMandapathel,90,272,False,3
stsp,132,132,False,4
CFdefense,123,134,False,3
yasenstar,30,50,False,3
vidplace7,105,146,False,5
NickStrapasson,3,3,False,2
chetannn-github,503,503,True,2
cardboardcode,15,15,False,2
p-ortega,23,48,False,2
nektro,139,257,False,2
bellegarde-c,37,37,True,2
vlovich,7,7,False,2
swd-hub,164,164,False,2
dangotbanned,28,28,True,6
Arcticnime,52,52,False,2
rootulp,363,481,False,2
jagoosw,6,36,False,3
FlamerYeeter,157,157,False,2
bryantjandra,6,6,True,2
Ozacodes,6,6,False,2
kevmoo,364,485,True,4
yakari007,242,242,True,2
safepre,7,7,False,2
lihongzheshuai,182,182,False,2
jinxuyeon,111,112,True,3
ericzhng,124,124,False,2
flanker0507,17,17,False,2
LuskGPM,64,64,False,2
ggbtk,86,86,False,3
AryanMadkar,70,70,False,2
mirzahilmi,77,171,False,6
shisukeUrahara,34,38,False,3
MatheusB7,4,4,False,2
ksted,34,34,False,2
AndreXime,358,424,False,4
Cynosphere,84,84,True,2
jesserockz,202,222,False,8
ManishBisht17,107,107,False,2
benshabbat,378,380,False,2
saltydk,41,418,False,4
bdekoz,213,545,True,4
trz42,24,26,False,2
neverneeth,81,81,False,2
khannsameer,159,159,False,2
JLyne,57,81,False,2
christopher-henderson,10,10,False,2
rm-a0,68,109,False,2
iragca,380,534,False,4
Subfader,367,367,False,2
aadilmughal786,5,5,False,2
Moskize91,220,220,True,3
brainsmoke,39,39,False,2
Abhishek-IOT,56,56,True,2
alxndr42,3,3,False,3
skippyr,5,5,False,3
szermatt,7,7,False,2
temevh,49,129,False,2
nahom-zewdu,162,162,True,2
ashwin1099,3,3,False,2
guillaumecarlino,288,288,False,2
IsaacNjenga,72,72,False,3
br00kd0wnt0n,370,370,False,3
Santhosh200429,36,36,False,2
SallyResch,196,196,False,2
kanakk365,30,373,False,3
ayushtiwari18,298,534,False,2
nandit27,55,73,False,2
Abal798,54,54,False,2
Shekhar961313,9,9,False,2
luoFengg,5,5,False,2
bmeeder22,59,59,True,4
jatkinson1000,65,77,True,2
kmbae1142,41,41,False,3
dgosbell,87,87,False,2
prabhu,207,207,True,6
Yanlry,25,25,False,2
kayhayen,487,508,False,2
takeruhukushima,68,125,False,2
adnansyed101,177,241,False,2
aksh-1409,36,36,False,2
Gololobov-Sergey,48,48,True,2
ayushsyntax,111,142,False,3
MatiasSinisalo,305,305,False,2
lyorig,89,89,False,2
jozefkubis,113,113,False,3
turtton,59,712,False,2
riconuts,137,137,False,2
Alex-Tsvetanov,36,48,True,2
kwakchaewon,223,224,False,2
RicardoCentrum,7,7,False,2
ClashLuke,80,80,False,3
adamd9,246,351,False,2
pratibhaWebDev,14,14,False,2
fenndragon,166,166,False,2
ark0f,19,27,False,3
Hill23333,17,17,True,2
Pal-Yogesh,52,88,True,3
dindinG41TR3,19,19,False,3
RobertParesi,360,360,False,2
ropable,479,494,False,3
Pedro270707,49,49,False,2
timoninmaxim,9,9,True,2
falkoschumann,226,226,False,2
minjo-on,207,207,True,2
sreelakshmii-a,12,12,True,2
ksco,171,171,False,4
seeeeeeong,185,185,True,2
cBournhonesque,16,16,False,2
NathanWalash,309,309,True,3
jve89,32,32,False,3
Shouvanik21,21,21,False,3
kasperisager,761,822,False,3
rushiiMachine,117,137,False,3
sainnhe,141,141,False,2
Aashi-25,53,53,False,2
EvenSol,327,453,False,3
NikolaiKuziaevQubership,8,8,False,2
Sandipan-developer,36,36,True,2
robertfromont,12,12,False,2
ChadFarrow,1168,1168,False,4
allenporter,676,713,False,5
AAKASHDEEP786,4,4,False,2
ItshMoh,100,100,True,2
thelamer,267,267,True,2
gnlow,18,18,True,2
AmadeusW,14,14,False,2
RonenMars,8,8,False,2
rrobertobt,63,109,True,2
Fuxfantx,8,8,False,3
YattaD-artist,39,39,True,2
hugo-vrijswijk,142,142,True,4
sutigit,3,3,False,2
BPMSoftwareSolutions,24,24,False,2
yoldas,77,126,False,2
kiwisincebirth,17,17,False,2
samuelroland,135,141,False,3
vaamb,168,168,False,2
Bhuvan-Desai21,56,60,True,2
Alaneel,41,41,True,2
Matthew2025-byte,20,20,True,3
turugrura,13,13,False,2
ananzh,3,3,True,3
Pebintk,19,20,True,2
cdce8p,95,95,False,3
DaniaAlSafadi,12,12,False,2
mrsillydog,88,88,False,2
aroraadivya,59,59,False,2
cmalinmayor,120,120,True,2
robertpatrick,146,146,True,2
xjw580,46,91,False,2
myselfabhi,194,218,False,2
jrafanie,171,171,False,2
heslabs,167,167,False,2
jhmcaleely,149,149,False,3
4141amitkumar,4,4,False,2
henninb,8,8,False,3
ProgDevelopr,19,19,False,2
poohghg,197,197,False,3
matthyx,381,381,False,3
MrCsabaToth,212,214,True,3
decobot,5,5,True,22
oi98,8,8,False,2
HeatherD2025,277,277,False,2
MohamedHassan1996,143,143,False,2
WeichenXu123,92,101,False,2
peavers,1370,2896,False,9
sarvan-2187,140,376,True,2
usamarazzaq90,12,12,False,2
Utilitycoder,129,129,True,2
VisualAcademy,442,442,False,2
drhelius,541,577,False,4
gishys,54,54,False,3
