n_developers,total_commits,median_commits,mean_commits,max_commits,p90_commits,p99_commits,top_1pct_share,gini,k_removed,year
162714,1220382,2.0,7.500165935322099,33236,7.0,87.0,0.5222577848575282,0.7875246787181911,0,2019
162714,1220382,2.0,7.500165935322099,33236,7.0,87.0,0.5222577848575282,0.7875246787181911,0,2019
162713,1187146,2.0,7.295950538678532,28504,7.0,87.0,0.5089559329686492,0.7815872226466427,1,2019
162709,1138172,2.0,6.995138560251738,3827,7.0,87.0,0.4881327251065744,0.7722334182671085,5,2019
162704,1123946,2.0,6.907918674402596,2085,7.0,86.0,0.4820409521453878,0.769405256431507,10,2019
162664,1061377,2.0,6.524965573206118,1104,7.0,84.0,0.4546301643996431,0.7562560770179398,50,2019
162614,1010401,2.0,6.2134933031596296,1001,7.0,81.0,0.43118326288275644,0.7445104386844106,100,2019
211562,1515004,2.0,7.161040262428981,23002,8.0,78.0,0.5125484817201803,0.7758745614997149,0,2020
211562,1515004,2.0,7.161040262428981,23002,8.0,78.0,0.5125484817201803,0.7758745614997149,0,2020
211561,1492002,2.0,7.052348967909965,6505,8.0,77.39999999999418,0.5050857840673136,0.7724276995704549,1,2020
211557,1473550,2.0,6.965262317011491,3357,8.0,77.0,0.4990980964337824,0.7696116736305003,5,2020
211552,1457415,2.0,6.889157275752534,3000,8.0,77.0,0.4938167920599143,0.7671030722325045,10,2020
211512,1374628,2.0,6.499054427171981,1510,7.0,75.0,0.4655492249539512,0.75341849017543,50,2020
211462,1318057,2.0,6.233067879808193,1009,7.0,73.0,0.4453828628048711,0.7432568574934426,100,2020
252545,2217188,2.0,8.779377932645668,100998,8.0,91.0,0.5744420409996807,0.8122982294334888,0,2021
252545,2217188,2.0,8.779377932645668,100998,8.0,91.0,0.5744420409996807,0.8122982294334888,0,2021
252544,2116190,2.0,8.379490306639635,42797,8.0,91.0,0.5541747196612781,0.8033472408965516,1,2021
252540,2020445,2.0,8.000494971093689,9859,8.0,91.0,0.5332280759931599,0.7940571993510679,5,2021
252535,1974596,2.0,7.819098342803968,6000,8.0,91.0,0.5226203233471556,0.7893111877584049,10,2021
252495,1861391,2.0,7.3719915245846455,2000,8.0,89.0,0.49546763683718253,0.776786878005586,50,2021
252445,1781718,2.0,7.057846263542554,1204,8.0,87.0,0.47537881976833596,0.7671634884043619,100,2021
282296,2542123,2.0,9.005168333947346,160487,8.0,90.0,0.5977519577140838,0.8207252763139434,0,2022
282296,2542123,2.0,9.005168333947346,160487,8.0,90.0,0.5977519577140838,0.8207252763139434,0,2022
282295,2381636,2.0,8.43669211286066,91078,8.0,90.0,0.5706841851567578,0.8086514602091142,1,2022
282291,2263246,2.0,8.017421738560563,6632,8.0,90.0,0.5483858140034269,0.7986678819428727,5,2022
282286,2235982,2.0,7.920980849209667,4415,8.0,90.0,0.54308040046834,0.796244993108485,10,2022
282246,2108732,2.0,7.471255571380994,2348,8.0,88.0,0.517198487052883,0.7842099654011516,50,2022
282196,2011870,2.0,7.129335639059377,1458,8.0,87.0,0.49608622823542275,0.7741429654265424,100,2022
310745,3976643,2.0,12.797126261082237,87598,8.0,105.0,0.7148783534252383,0.8747309459128199,0,2023
310745,3976643,2.0,12.797126261082237,87598,8.0,105.0,0.7148783534252383,0.8747309459128199,0,2023
310744,3889045,2.0,12.515269804083104,66274,8.0,105.0,0.7084831880320233,0.8719154451274749,1,2023
310740,3685270,2.0,11.859657591555642,40054,8.0,105.0,0.692477891714854,0.8648577234175074,5,2023
310735,3517768,2.0,11.320797464077108,21062,8.0,105.0,0.6779841649591446,0.8584533827736807,10,2023
310695,3008092,2.0,9.681816572522893,9085,8.0,102.0,0.624764136203281,0.8347250108610023,50,2023
310645,2699718,2.0,8.690685509182508,4000,8.0,100.0,0.5837735644982179,0.8161547744218831,100,2023
342717,14502362,2.0,42.31585243801737,2840080,8.0,192.0,0.8980154405192754,0.9595912483251519,0,2024
342717,14502362,2.0,42.31585243801737,2840080,8.0,192.0,0.8980154405192754,0.9595912483251519,0,2024
342716,11662282,2.0,34.02899777074896,250795,8.0,192.0,0.8731959148303908,0.9497570278510814,1,2024
342712,11081383,2.0,32.33438864119144,99685,8.0,192.0,0.8666180024641329,0.9471464489532377,5,2024
342707,10629868,2.0,31.01736468761945,60002,8.0,191.94000000000233,0.8610427711802254,0.9449304023951044,10,2024
342667,9340976,2.0,27.25963107039779,20003,8.0,187.0,0.842659054043175,0.9375706778997164,50,2024
342617,8578693,2.0,25.038725457289043,10627,8.0,182.0,0.829755768157224,0.9323165747476176,100,2024
